DateTime,Currency,Impact,Event,Actual,Forecast,Previous,Detail
2020-03-06T13:30:00+00:00,USD,High Impact Expected,Unemployment Rate,3.5%,3.6%,3.6%,
2020-03-06T13:30:00+00:00,USD,High Impact Expected,Non-Farm Employment Change,273K,175K,273K,
2020-03-06T13:30:00+00:00,USD,High Impact Expected,Average Hourly Earnings m/m,0.3%,0.3%,0.2%,
2020-03-06T13:30:00+00:00,CAD,High Impact Expected,Employment Change,30.3K,10.5K,34.5K,
2020-03-06T13:30:00+00:00,CAD,High Impact Expected,Trade Balance,-1.5B,-0.8B,-0.7B,
2020-03-06T13:30:00+00:00,CAD,High Impact Expected,Unemployment Rate,5.6%,5.6%,5.5%,
2020-03-07T03:04:00+00:00,CNY,High Impact Expected,Trade Balance,-43B,,329B,
2020-03-09T22:34:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-10T01:00:00+00:00,NZD,High Impact Expected,RBNZ Gov Orr Speaks,,,,
2020-03-11T07:00:00+00:00,GBP,High Impact Expected,Official Bank Rate,0.25%,,0.75%,
2020-03-11T07:00:00+00:00,GBP,High Impact Expected,MPC Official Bank Rate Votes,0-9-0,,0-2-7,
2020-03-11T07:00:00+00:00,GBP,High Impact Expected,Monetary Policy Summary,,,,
2020-03-11T09:00:00+00:00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,,
2020-03-11T12:30:00+00:00,GBP,High Impact Expected,Annual Budget Release,,,,
2020-03-11T12:30:00+00:00,USD,High Impact Expected,Core CPI m/m,0.2%,0.2%,0.2%,
2020-03-11T12:30:00+00:00,USD,High Impact Expected,CPI m/m,0.1%,0.0%,0.1%,
2020-03-11T12:30:00+00:00,USD,High Impact Expected,CPI y/y,2.3%,2.2%,2.5%,
2020-03-11T14:00:00+00:00,USD,High Impact Expected,Treasury Sec Mnuchin Speaks,,,,
2020-03-12T01:00:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-12T12:45:00+00:00,EUR,High Impact Expected,Monetary Policy Statement,,,,
2020-03-12T12:45:00+00:00,EUR,High Impact Expected,Main Refinancing Rate,0.00%,0.00%,0.00%,
2020-03-12T13:30:00+00:00,EUR,High Impact Expected,ECB Press Conference,,,,
2020-03-13T18:08:00+00:00,CAD,High Impact Expected,BOC Rate Statement,,,,
2020-03-13T18:08:00+00:00,CAD,High Impact Expected,Overnight Rate,0.75%,,1.25%,
2020-03-13T18:13:00+00:00,CAD,High Impact Expected,BOC Gov Poloz Speaks,,,,
2020-03-13T19:30:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-15T19:00:00+00:00,NZD,High Impact Expected,Official Cash Rate,0.25%,,1.00%,
2020-03-15T19:00:00+00:00,NZD,High Impact Expected,RBNZ Rate Statement,,,,
2020-03-15T21:00:00+00:00,USD,High Impact Expected,FOMC Statement,,,,
2020-03-15T21:00:00+00:00,USD,High Impact Expected,Fed Announcement,,,,
2020-03-15T21:00:00+00:00,USD,High Impact Expected,Federal Funds Rate,<0.25%,,1.25%,
2020-03-15T21:17:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-15T22:00:00+00:00,NZD,High Impact Expected,RBNZ Press Conference,,,,
2020-03-15T22:30:00+00:00,USD,High Impact Expected,FOMC Press Conference,,,,
2020-03-16T02:00:00+00:00,CNY,High Impact Expected,Industrial Production y/y,-13.5%,-3.0%,6.9%,
2020-03-16T05:06:00+00:00,JPY,High Impact Expected,BOJ Policy Rate,-0.10%,-0.10%,-0.10%,
2020-03-16T05:06:00+00:00,JPY,High Impact Expected,Monetary Policy Statement,,,,
2020-03-16T19:25:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-16T23:59:59+00:00,All,High Impact Expected,G7 Meetings,,,,
2020-03-17T00:30:00+00:00,AUD,High Impact Expected,Monetary Policy Meeting Minutes,,,,
2020-03-17T10:00:00+00:00,EUR,High Impact Expected,German ZEW Economic Sentiment,-49.5,-29.7,8.7,
2020-03-17T12:30:00+00:00,USD,High Impact Expected,Core Retail Sales m/m,-0.4%,0.1%,0.6%,
2020-03-17T12:30:00+00:00,USD,High Impact Expected,Retail Sales m/m,-0.5%,0.2%,0.6%,
2020-03-17T14:45:00+00:00,USD,High Impact Expected,Fed Announcement,,,,
2020-03-17T15:40:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-17T22:00:00+00:00,USD,High Impact Expected,Fed Announcement,,,,
2020-03-17T23:59:59+00:00,EUR,High Impact Expected,EU Economic Summit,,,,
2020-03-18T00:30:00+00:00,AUD,High Impact Expected,Retail Sales m/m,0.4%,0.4%,-0.3%,
2020-03-18T12:30:00+00:00,CAD,High Impact Expected,CPI m/m,0.4%,0.4%,0.3%,
2020-03-18T15:51:00+00:00,CAD,High Impact Expected,BOC Gov Poloz Speaks,,,,
2020-03-18T16:07:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-18T21:45:00+00:00,NZD,High Impact Expected,GDP q/q,0.5%,0.5%,0.8%,
2020-03-19T00:30:00+00:00,AUD,High Impact Expected,Employment Change,26.7K,8.5K,12.9K,
2020-03-19T00:30:00+00:00,AUD,High Impact Expected,Unemployment Rate,5.1%,5.3%,5.3%,
2020-03-19T03:30:00+00:00,AUD,High Impact Expected,Cash Rate,0.25%,,0.50%,
2020-03-19T03:30:00+00:00,AUD,High Impact Expected,RBA Rate Statement,,,,
2020-03-19T05:00:00+00:00,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,,
2020-03-19T08:30:00+00:00,CHF,High Impact Expected,SNB Monetary Policy Assessment,,,,
2020-03-19T08:30:00+00:00,CHF,High Impact Expected,SNB Policy Rate,-0.75%,-0.75%,-0.75%,
2020-03-19T09:00:00+00:00,EUR,High Impact Expected,German ifo Business Climate,87.7,,96.0,
2020-03-19T09:15:00+00:00,CHF,High Impact Expected,SNB Press Conference,,,,
2020-03-19T13:00:00+00:00,USD,High Impact Expected,Fed Announcement,,,,
2020-03-19T14:30:00+00:00,GBP,High Impact Expected,MPC Official Bank Rate Votes,0-9-0,,0-9-0,
2020-03-19T14:30:00+00:00,GBP,High Impact Expected,Monetary Policy Summary,,,,
2020-03-19T14:30:00+00:00,GBP,High Impact Expected,Official Bank Rate,0.10%,,0.25%,
2020-03-19T15:38:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-19T16:30:00+00:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,
2020-03-20T12:30:00+00:00,CAD,High Impact Expected,Core Retail Sales m/m,-0.1%,0.2%,0.7%,
2020-03-20T14:00:00+00:00,USD,High Impact Expected,Fed Announcement,,,,
2020-03-20T15:00:00+00:00,USD,High Impact Expected,Fed Announcement,,,,
2020-03-20T15:50:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-21T16:30:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-23T12:00:00+00:00,USD,High Impact Expected,Fed Announcement,,,,
2020-03-23T22:12:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-24T08:15:00+00:00,EUR,High Impact Expected,French Flash Services PMI,29.0,39.6,52.5,
2020-03-24T08:30:00+00:00,EUR,High Impact Expected,German Flash Manufacturing PMI,45.7,40.1,48.0,
2020-03-24T08:30:00+00:00,EUR,High Impact Expected,German Flash Services PMI,34.5,43.0,52.5,
2020-03-24T09:30:00+00:00,GBP,High Impact Expected,Flash Manufacturing PMI,48.0,45.1,51.7,
2020-03-24T09:30:00+00:00,GBP,High Impact Expected,Flash Services PMI,35.7,45.0,53.2,
2020-03-24T13:45:00+00:00,USD,High Impact Expected,Flash Manufacturing PMI,49.2,45.1,50.7,
2020-03-24T16:05:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-24T23:59:59+00:00,All,High Impact Expected,G7 Meetings,,,,
2020-03-25T07:00:00+00:00,GBP,High Impact Expected,CPI y/y,1.7%,1.7%,1.8%,
2020-03-26T11:06:00+00:00,USD,High Impact Expected,Fed Chair Powell Speaks,,,,
2020-03-26T12:00:00+00:00,GBP,High Impact Expected,Monetary Policy Summary,,,,
2020-03-26T12:00:00+00:00,GBP,High Impact Expected,MPC Official Bank Rate Votes,0-0-9,0-0-9,0-9-0,
2020-03-26T12:00:00+00:00,GBP,High Impact Expected,Official Bank Rate,0.10%,0.10%,0.10%,
2020-03-26T12:30:00+00:00,USD,High Impact Expected,Unemployment Claims,3283K,1648K,282K,
2020-03-27T13:00:00+00:00,CAD,High Impact Expected,BOC Rate Statement,,,,
2020-03-27T13:00:00+00:00,CAD,High Impact Expected,Overnight Rate,0.25%,,0.75%,
2020-03-27T13:30:00+00:00,CAD,High Impact Expected,BOC Press Conference,,,,
2020-03-27T17:00:00+00:00,CAD,High Impact Expected,BOC Gov Poloz Speaks,,,,
2020-03-27T21:30:00+00:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-29T22:43:00+01:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-30T22:15:00+01:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-03-31T01:00:00+01:00,NZD,High Impact Expected,ANZ Business Confidence,-63.5,,-19.4,
2020-03-31T02:00:00+01:00,CNY,High Impact Expected,Manufacturing PMI,52.0,44.9,35.7,
2020-03-31T13:30:00+01:00,USD,High Impact Expected,Fed Announcement,,,,
2020-03-31T15:00:00+01:00,USD,High Impact Expected,CB Consumer Confidence,120.0,115.1,132.6,
2020-03-31T22:30:00+01:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-04-01T13:15:00+01:00,USD,High Impact Expected,ADP Non-Farm Employment Change,-27K,-150K,179K,
2020-04-01T15:00:00+01:00,USD,High Impact Expected,ISM Manufacturing PMI,49.1,44.9,50.1,
2020-04-01T22:37:00+01:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-04-02T13:30:00+01:00,USD,High Impact Expected,Unemployment Claims,6648K,3600K,3307K,
2020-04-02T22:23:00+01:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-04-03T13:30:00+01:00,USD,High Impact Expected,Average Hourly Earnings m/m,0.4%,0.2%,0.3%,
2020-04-03T13:30:00+01:00,USD,High Impact Expected,Non-Farm Employment Change,-701K,-100K,275K,
2020-04-03T13:30:00+01:00,USD,High Impact Expected,Unemployment Rate,4.4%,3.8%,3.5%,
2020-04-04T20:30:00+01:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-04-05T23:45:00+01:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-04-06T15:30:00+01:00,CAD,High Impact Expected,BOC Business Outlook Survey,,,,
2020-04-06T22:42:00+01:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-04-07T05:30:00+01:00,AUD,High Impact Expected,Cash Rate,0.25%,0.25%,0.25%,
2020-04-07T05:30:00+01:00,AUD,High Impact Expected,RBA Rate Statement,,,,
2020-04-07T22:42:00+01:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-04-08T02:00:00+01:00,NZD,High Impact Expected,Prelim ANZ Business Confidence,-73.1,,-63.5,
2020-04-08T22:46:00+01:00,USD,High Impact Expected,President Trump Speaks,,,,
2020-04-09T12:30:00+01:00,EUR,High Impact Expected,ECB Monetary Policy Meeting Accounts,,,,
2020-04-09T13:30:00+01:00,USD,High Impact Expected,Unemployment Claims,6606K,5000K,6867K,
2020-04-09T13:30:00+01:00,USD,High Impact Expected,Fed Announcement,,,,
2020-04-09T13:30:00+01:00,CAD,High Impact Expected,Unemployment Rate,7.8%,7.4%,5.6%,
2020-04-09T13:30:00+01:00,CAD,High Impact Expected,Employment Change,-1010.7K,-427.0K,30.3K,
2020-04-09T15:00:00+01:00,USD,High Impact Expected,Fed Chair Powell Speaks,,,,
